1660;1670;1680;1690;1700;1710;1720;1730;1740;1750;1760
1690;1700;1710;1720;1730;1740;1750;1760;1770;1780;1790
1720;1730;1740;1750;1760;1770;1780;1790;1800;1810;1820
1750;1760;1770;1780;1790;1800;1810;1820;1830;1840;1850
1780;1790;1800;1810;1820;1830;1840;1850;1860;1870;1880
1810;1820;1830;1840;1850;1860;1870;1880;1890;1900;1910
1840;1850;1860;1870;1880;1890;1900;1910;1920;1930;1940
1870;1880;1890;1900;1910;1920;1930;1940;1950;1960;1970
1900;1910;1920;1930;1940;1950;1960;1970;1980;1990;2000
1930;1940;1950;1960;1970;1980;1990;2000;2010;2020;2030
1960;1970;1980;1990;2000;2010;2020;2030;2040;2050;2060
1990;2000;2010;2020;2030;2040;2050;2060;2070;2080;2090
2020;2030;2040;2050;2060;2070;2080;2090;2100;2110;2120
2050;2060;2070;2080;2090;2100;2110;2120;2130;2140;2150
2080;2090;2100;2110;2120;2130;2140;2150;2160;2170;2180
2110;2120;2130;2140;2150;2160;2170;2180;2190;2200;2210
2140;2150;2160;2170;2180;2190;2200;2210;2220;2230;2240
2170;2180;2190;2200;2210;2220;2230;2240;2250;2260;2270
2200;2210;2220;2230;2240;2250;2260;2270;2280;2290;2300
2230;2240;2250;2260;2270;2280;2290;2300;2310;2320;2330
2260;2270;2280;2290;2300;2310;2320;2330;2340;2350;2360
2290;2300;2310;2320;2330;2340;2350;2360;2370;2380;2390
2320;2330;2340;2350;2360;2370;2380;2390;2400;2410;2420
2350;2360;2370;2380;2390;2400;2410;2420;2430;2440;2450
2380;2390;2400;2410;2420;2430;2440;2450;2460;2470;2480
2410;2420;2430;2440;2450;2460;2470;2480;2490;2500;2510
2440;2450;2460;2470;2480;2490;2500;2510;2520;2530;2540
2470;2480;2490;2500;2510;2520;2530;2540;2550;2560;2570
2500;2510;2520;2530;2540;2550;2560;2570;2580;2590;2600
2530;2540;2550;2560;2570;2580;2590;2600;2610;2620;2630
2560;2570;2580;2590;2600;2610;2620;2630;2640;2650;2660
2590;2600;2610;2620;2630;2640;2650;2660;2670;2680;2690
2620;2630;2640;2650;2660;2670;2680;2690;2700;2710;2720
2650;2660;2670;2680;2690;2700;2710;2720;2730;2740;2750
2680;2690;2700;2710;2720;2730;2740;2750;2760;2770;2780
2710;2720;2730;2740;2750;2760;2770;2780;2790;2800;2810
2740;2750;2760;2770;2780;2790;2800;2810;2820;2830;2840
2770;2780;2790;2800;2810;2820;2830;2840;2850;2860;2870
2800;2810;2820;2830;2840;2850;2860;2870;2880;2890;2900
2830;2840;2850;2860;2870;2880;2890;2900;2910;2920;2930
2860;2870;2880;2890;2900;2910;2920;2930;2940;2950;2960
